序号,推荐类别,目标名称,NORAD ID,COSPAR ID,轨道类型,估算高度,倾角,平均运动,来源分组,教学价值,推荐理由
1,导航定位,BEIDOU-2 G4 (C04),37210,2010-057A,GEO/高轨,"约35,787 km",3.66,1.002711,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
2,导航定位,BEIDOU-2 G5 (C05),38091,2012-008A,GEO/高轨,"约35,786 km",3.59,1.002746,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
3,导航定位,BEIDOU-2 G6 (C02),38953,2012-059A,GEO/高轨,"约35,787 km",4.44,1.002716,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
4,导航定位,BEIDOU-2 G7 (C03),41586,2016-037A,GEO/高轨,"约35,786 km",1.74,1.002735,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
5,导航定位,BEIDOU-2 G8 (C01),44231,2019-027A,GEO/高轨,"约35,787 km",1.68,1.002692,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
6,导航定位,BEIDOU-2 IGSO-1 (C06),36828,2010-036A,GEO/高轨,"约35,787 km",54.3,1.0027,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
7,导航定位,BEIDOU-2 IGSO-2 (C07),37256,2010-068A,GEO/高轨,"约35,784 km",47.53,1.002812,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
8,导航定位,BEIDOU-2 IGSO-3 (C08),37384,2011-013A,GEO/高轨,"约35,788 km",62.42,1.002664,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
9,导航定位,BEIDOU-2 IGSO-4 (C09),37763,2011-038A,GEO/高轨,"约35,783 km",54.6,1.002844,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
10,导航定位,BEIDOU-2 IGSO-5 (C10),37948,2011-073A,GEO/高轨,"约35,787 km",47.66,1.002721,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
11,导航定位,BEIDOU-2 IGSO-6 (C13),41434,2016-021A,GEO/高轨,"约35,790 km",60.24,1.002591,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
12,导航定位,BEIDOU-2 IGSO-7 (C16),43539,2018-057A,GEO/高轨,"约35,793 km",55.2,1.002491,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
13,导航定位,BEIDOU-2 M3 (C11),38250,2012-018A,MEO,"约21,528 km",55.75,1.862296,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
14,导航定位,BEIDOU-2 M4 (C12),38251,2012-018B,MEO,"约21,528 km",55.65,1.862296,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
15,导航定位,BEIDOU-2 M6 (C14),38775,2012-050B,MEO,"约21,528 km",56.55,1.862311,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
16,导航定位,BEIDOU-3 G1 (C59),43683,2018-085A,GEO/高轨,"约35,787 km",2.89,1.002708,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
17,导航定位,BEIDOU-3 G2 (C60),45344,2020-017A,GEO/高轨,"约35,787 km",2.88,1.00272,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
18,导航定位,BEIDOU-3 G3 (C61),45807,2020-040A,GEO/高轨,"约35,786 km",2.47,1.002753,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
19,导航定位,BEIDOU-3 IGSO-1 (C38),44204,2019-023A,GEO/高轨,"约35,782 km",58.71,1.0029,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
20,导航定位,BEIDOU-3 IGSO-2 (C39),44337,2019-035A,GEO/高轨,"约35,789 km",55.25,1.002644,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
21,导航定位,BEIDOU-3 M1 (C19),43001,2017-069A,MEO,"约21,528 km",56.7,1.862312,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
22,导航定位,BEIDOU-3 M10 (C30),43246,2018-029B,MEO,"约21,528 km",54.19,1.862291,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
23,导航定位,BEIDOU-3 M11 (C25),43603,2018-067B,MEO,"约21,529 km",54.18,1.862272,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
24,导航定位,BEIDOU-3 M12 (C26),43602,2018-067A,MEO,"约21,529 km",54.18,1.862277,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
25,导航定位,BEIDOU-3 M13 (C32),43622,2018-072A,MEO,"约21,528 km",56.63,1.862311,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
26,导航定位,BEIDOU-3 M14 (C33),43623,2018-072B,MEO,"约21,528 km",56.63,1.862311,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
27,导航定位,BEIDOU-3 M15 (C34),43648,2018-078B,MEO,"约21,528 km",54.08,1.862325,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
28,导航定位,BEIDOU-3 M16 (C35),43647,2018-078A,MEO,"约21,528 km",54.08,1.862324,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
29,导航定位,BEIDOU-3 M17 (C36),43706,2018-093A,MEO,"约21,528 km",54.17,1.862285,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
30,导航定位,BEIDOU-3 M18 (C37),43707,2018-093B,MEO,"约21,529 km",54.17,1.862267,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
31,导航定位,BEIDOU-3 M19 (C41),44864,2019-090A,MEO,"约21,528 km",56.56,1.862315,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
